SSID,Taken,Desc,Schl Yr,GR,Abbreviation,Score,MaxScore
107000,5/1/2016,MATH,2016,4,MSP,4,5
107100,2/1/2015,MATH,2015,3,SBA,2301,2500
107100,5/1/2016,MATH,2016,4,MSP,5,5
107200,2/1/2015,MATH,2015,3,SBA,1128,2500
107200,5/1/2016,MATH,2016,4,MSP,1,5
107300,2/1/2015,MATH,2015,3,SBA,1830,2500
107300,5/1/2016,MATH,2016,4,MSP,3,5
107400,2/1/2015,MATH,2015,3,SBA,1617,2500
107400,5/1/2016,MATH,2016,4,MSP,2,5
107500,2/1/2015,MATH,2015,3,SBA,1459,2500
107500,5/1/2016,MATH,2016,4,MSP,3,5
107600,2/1/2015,MATH,2015,3,SBA,1664,2500
107600,5/1/2016,MATH,2016,4,MSP,1,5
107700,2/1/2015,MATH,2015,3,SBA,2012,2500
107700,5/1/2016,MATH,2016,4,MSP,4,5
107800,2/1/2015,MATH,2015,3,SBA,1863,2500
107800,5/1/2016,MATH,2016,4,MSP,0,5
107900,2/1/2015,MATH,2015,3,SBA,2226,2500
107900,5/1/2016,MATH,2016,4,MSP,3,5
108000,2/1/2015,MATH,2015,3,SBA,2272,2500
108000,5/1/2016,MATH,2016,4,MSP,1,5
108100,2/1/2015,MATH,2015,3,SBA,1491,2500
108100,5/1/2016,MATH,2016,4,MSP,3,5
108200,2/1/2015,MATH,2015,3,SBA,1297,2500
108200,5/1/2016,MATH,2016,4,MSP,4,5
108300,2/1/2015,MATH,2015,3,SBA,1330,2500
108300,5/1/2016,MATH,2016,4,MSP,4,5
108400,2/1/2015,MATH,2015,3,SBA,1428,2500
108400,5/1/2016,MATH,2016,4,MSP,2,5
108500,2/1/2015,MATH,2015,3,SBA,1583,2500
108500,5/1/2016,MATH,2016,4,MSP,3,5
108600,2/1/2015,MATH,2015,3,SBA,1188,2500
108600,5/1/2016,MATH,2016,4,MSP,5,5
108700,2/1/2015,MATH,2015,3,SBA,2377,2500
108700,5/1/2016,MATH,2016,4,MSP,2,5
108800,2/1/2015,MATH,2015,3,SBA,1076,2500
108800,5/1/2016,MATH,2016,4,MSP,5,5
108900,2/1/2015,MATH,2015,3,SBA,2390,2500
108900,5/1/2016,MATH,2016,4,MSP,4,5
109000,2/1/2015,MATH,2015,3,SBA,1757,2500
109000,5/1/2016,MATH,2016,4,MSP,1,5
109100,2/1/2015,MATH,2015,3,SBA,2368,2500
109100,5/1/2016,MATH,2016,4,MSP,5,5
109200,2/1/2015,MATH,2015,3,SBA,1500,2500
109200,5/1/2016,MATH,2016,4,MSP,2,5
109300,2/1/2015,MATH,2015,3,SBA,1322,2500
109300,5/1/2016,MATH,2016,4,MSP,2,5
109400,2/1/2015,MATH,2015,3,SBA,2181,2500
109400,5/1/2016,MATH,2016,4,MSP,4,5
109500,2/1/2015,MATH,2015,3,SBA,1412,2500
109500,5/1/2016,MATH,2016,4,MSP,4,5
109600,2/1/2015,MATH,2015,3,SBA,2280,2500
109600,5/1/2016,MATH,2016,4,MSP,5,5
109700,2/1/2015,MATH,2015,3,SBA,1448,2500
109700,5/1/2016,MATH,2016,4,MSP,5,5
109800,2/1/2015,MATH,2015,3,SBA,2164,2500
109800,5/1/2016,MATH,2016,4,MSP,4,5
109900,2/1/2015,MATH,2015,3,SBA,1448,2500
109900,5/1/2016,MATH,2016,4,MSP,2,5
110000,2/1/2015,MATH,2015,3,SBA,2025,2500
110000,5/1/2016,MATH,2016,4,MSP,3,5
