SSID,Taken,Desc,Schl Yr,GR,Abbreviation,Score,MaxScore
101500,2/2/2013,ENGLISH,2013,1,SBA,1754,2500
101500,2/1/2014,MATH,2014,2,SBA,1465,2500
101500,2/2/2014,ENGLISH,2014,2,SBA,1777,2500
101500,2/1/2015,MATH,2015,3,SBA,1956,2500
101500,2/2/2015,ENGLISH,2015,3,SBA,1710,2500
101500,5/1/2016,MATH,2016,4,MSP,3,5
101500,5/2/2016,ENGLISH,2016,4,MSP,3,5
101600,2/1/2013,MATH,2013,1,SBA,1217,2500
101600,2/2/2013,ENGLISH,2013,1,SBA,2241,2500
101600,2/1/2014,MATH,2014,2,SBA,1740,2500
101600,2/2/2014,ENGLISH,2014,2,SBA,1492,2500
101600,2/1/2015,MATH,2015,3,SBA,1021,2500
101600,2/2/2015,ENGLISH,2015,3,SBA,1632,2500
101600,5/1/2016,MATH,2016,4,MSP,2,5
101600,5/2/2016,ENGLISH,2016,4,MSP,5,5
101700,2/1/2013,MATH,2013,1,SBA,1454,2500
101700,2/2/2013,ENGLISH,2013,1,SBA,1140,2500
101700,2/1/2014,MATH,2014,2,SBA,1663,2500
101700,2/2/2014,ENGLISH,2014,2,SBA,1260,2500
101700,2/1/2015,MATH,2015,3,SBA,1772,2500
101700,2/2/2015,ENGLISH,2015,3,SBA,2289,2500
101700,5/1/2016,MATH,2016,4,MSP,4,5
101700,5/2/2016,ENGLISH,2016,4,MSP,4,5
101800,2/1/2013,MATH,2013,1,SBA,1900,2500
101800,2/2/2013,ENGLISH,2013,1,SBA,1715,2500
101800,2/1/2014,MATH,2014,2,SBA,2165,2500
101800,2/2/2014,ENGLISH,2014,2,SBA,1086,2500
101800,2/1/2015,MATH,2015,3,SBA,1382,2500
101800,2/2/2015,ENGLISH,2015,3,SBA,1810,2500
101800,5/1/2016,MATH,2016,4,MSP,3,5
101800,5/2/2016,ENGLISH,2016,4,MSP,1,5
101900,2/1/2013,MATH,2013,1,SBA,2258,2500
101900,2/2/2013,ENGLISH,2013,1,SBA,2299,2500
101900,2/1/2014,MATH,2014,2,SBA,1844,2500
101900,2/2/2014,ENGLISH,2014,2,SBA,2200,2500
101900,2/1/2015,MATH,2015,3,SBA,2101,2500
101900,2/2/2015,ENGLISH,2015,3,SBA,1224,2500
101900,5/1/2016,MATH,2016,4,MSP,0,5
101900,5/2/2016,ENGLISH,2016,4,MSP,4,5
102000,2/1/2013,MATH,2013,1,SBA,1912,2500
102000,2/2/2013,ENGLISH,2013,1,SBA,1715,2500
102000,2/1/2014,MATH,2014,2,SBA,2392,2500
102000,2/2/2014,ENGLISH,2014,2,SBA,2253,2500
102000,2/1/2015,MATH,2015,3,SBA,2440,2500
102000,2/2/2015,ENGLISH,2015,3,SBA,1426,2500
102000,5/1/2016,MATH,2016,4,MSP,2,5
102000,5/2/2016,ENGLISH,2016,4,MSP,5,5
102100,2/1/2013,MATH,2013,1,SBA,1889,2500
102100,2/2/2013,ENGLISH,2013,1,SBA,1899,2500
102100,2/1/2014,MATH,2014,2,SBA,1015,2500
102100,2/2/2014,ENGLISH,2014,2,SBA,2448,2500
102100,2/1/2015,MATH,2015,3,SBA,1726,2500
102100,2/2/2015,ENGLISH,2015,3,SBA,1182,2500
102100,5/1/2016,MATH,2016,4,MSP,3,5
102100,5/2/2016,ENGLISH,2016,4,MSP,1,5
102200,2/1/2013,MATH,2013,1,SBA,2463,2500
102200,2/2/2013,ENGLISH,2013,1,SBA,2371,2500
102200,2/1/2014,MATH,2014,2,SBA,2349,2500
102200,2/2/2014,ENGLISH,2014,2,SBA,2435,2500
102200,2/1/2015,MATH,2015,3,SBA,1063,2500
102200,2/2/2015,ENGLISH,2015,3,SBA,1809,2500
102200,5/1/2016,MATH,2016,4,MSP,2,5
102200,5/2/2016,ENGLISH,2016,4,MSP,3,5
102300,2/1/2013,MATH,2013,1,SBA,2137,2500
102300,2/2/2013,ENGLISH,2013,1,SBA,1095,2500
102300,2/1/2014,MATH,2014,2,SBA,2341,2500
102300,2/2/2014,ENGLISH,2014,2,SBA,1241,2500
102300,2/1/2015,MATH,2015,3,SBA,2459,2500
102300,2/2/2015,ENGLISH,2015,3,SBA,1098,2500
102300,5/1/2016,MATH,2016,4,MSP,4,5
102300,5/2/2016,ENGLISH,2016,4,MSP,2,5
102400,2/1/2013,MATH,2013,1,SBA,2252,2500
102400,2/2/2013,ENGLISH,2013,1,SBA,1866,2500
102400,2/1/2014,MATH,2014,2,SBA,2206,2500
102400,2/2/2014,ENGLISH,2014,2,SBA,1821,2500
102400,2/1/2015,MATH,2015,3,SBA,2355,2500
102400,2/2/2015,ENGLISH,2015,3,SBA,1777,2500
102400,5/1/2016,MATH,2016,4,MSP,4,5
102400,5/2/2016,ENGLISH,2016,4,MSP,1,5
102500,2/1/2013,MATH,2013,1,SBA,1436,2500
102500,2/2/2013,ENGLISH,2013,1,SBA,1635,2500
102500,2/1/2014,MATH,2014,2,SBA,1149,2500
102500,2/2/2014,ENGLISH,2014,2,SBA,2203,2500
102500,2/1/2015,MATH,2015,3,SBA,2401,2500
102500,2/2/2015,ENGLISH,2015,3,SBA,2015,2500
102500,5/1/2016,MATH,2016,4,MSP,1,5
102500,5/2/2016,ENGLISH,2016,4,MSP,4,5
102600,2/1/2013,MATH,2013,1,SBA,2319,2500
102600,2/2/2013,ENGLISH,2013,1,SBA,1192,2500
102600,2/1/2014,MATH,2014,2,SBA,1966,2500
102600,2/2/2014,ENGLISH,2014,2,SBA,1620,2500
102600,2/1/2015,MATH,2015,3,SBA,1916,2500
102600,2/2/2015,ENGLISH,2015,3,SBA,1379,2500
102600,5/1/2016,MATH,2016,4,MSP,0,5
102600,5/2/2016,ENGLISH,2016,4,MSP,5,5
102700,2/1/2013,MATH,2013,1,SBA,1367,2500
102700,2/2/2013,ENGLISH,2013,1,SBA,1413,2500
102700,2/1/2014,MATH,2014,2,SBA,1403,2500
102700,2/2/2014,ENGLISH,2014,2,SBA,1455,2500
102700,2/1/2015,MATH,2015,3,SBA,2395,2500
102700,2/2/2015,ENGLISH,2015,3,SBA,2114,2500
102700,5/1/2016,MATH,2016,4,MSP,2,5
102700,5/2/2016,ENGLISH,2016,4,MSP,1,5
102800,2/1/2013,MATH,2013,1,SBA,2233,2500
102800,2/2/2013,ENGLISH,2013,1,SBA,1748,2500
102800,2/1/2014,MATH,2014,2,SBA,1812,2500
102800,2/2/2014,ENGLISH,2014,2,SBA,2031,2500
102800,2/1/2015,MATH,2015,3,SBA,1675,2500
102800,2/2/2015,ENGLISH,2015,3,SBA,2132,2500
102800,5/1/2016,MATH,2016,4,MSP,2,5
102800,5/2/2016,ENGLISH,2016,4,MSP,2,5
102900,2/1/2013,MATH,2013,1,SBA,2216,2500
102900,2/2/2013,ENGLISH,2013,1,SBA,2142,2500
102900,2/1/2014,MATH,2014,2,SBA,1775,2500
102900,2/2/2014,ENGLISH,2014,2,SBA,2243,2500
102900,2/1/2015,MATH,2015,3,SBA,2387,2500
102900,2/2/2015,ENGLISH,2015,3,SBA,2309,2500
102900,5/1/2016,MATH,2016,4,MSP,3,5
102900,5/2/2016,ENGLISH,2016,4,MSP,0,5
103000,2/1/2013,MATH,2013,1,SBA,1000,2500
103000,2/2/2013,ENGLISH,2013,1,SBA,2373,2500
103000,2/1/2014,MATH,2014,2,SBA,2025,2500
103000,2/2/2014,ENGLISH,2014,2,SBA,2227,2500
103000,2/1/2015,MATH,2015,3,SBA,1466,2500
103000,2/2/2015,ENGLISH,2015,3,SBA,2260,2500
103000,5/1/2016,MATH,2016,4,MSP,3,5
103000,5/2/2016,ENGLISH,2016,4,MSP,4,5
103100,2/1/2013,MATH,2013,1,SBA,1553,2500
103100,2/2/2013,ENGLISH,2013,1,SBA,1346,2500
103100,2/1/2014,MATH,2014,2,SBA,1193,2500
103100,2/2/2014,ENGLISH,2014,2,SBA,2332,2500
103100,2/1/2015,MATH,2015,3,SBA,1155,2500
103100,2/2/2015,ENGLISH,2015,3,SBA,2385,2500
103100,5/1/2016,MATH,2016,4,MSP,1,5
103100,5/2/2016,ENGLISH,2016,4,MSP,0,5
103200,2/1/2013,MATH,2013,1,SBA,2345,2500
103200,2/2/2013,ENGLISH,2013,1,SBA,1365,2500
103200,2/1/2014,MATH,2014,2,SBA,1983,2500
103200,2/2/2014,ENGLISH,2014,2,SBA,2397,2500
103200,2/1/2015,MATH,2015,3,SBA,2140,2500
103200,2/2/2015,ENGLISH,2015,3,SBA,1707,2500
103200,5/1/2016,MATH,2016,4,MSP,5,5
103200,5/2/2016,ENGLISH,2016,4,MSP,1,5
103300,2/1/2013,MATH,2013,1,SBA,2342,2500
103300,2/2/2013,ENGLISH,2013,1,SBA,1461,2500
103300,2/1/2014,MATH,2014,2,SBA,1610,2500
103300,2/2/2014,ENGLISH,2014,2,SBA,1260,2500
103300,2/1/2015,MATH,2015,3,SBA,1510,2500
103300,2/2/2015,ENGLISH,2015,3,SBA,2156,2500
103300,5/1/2016,MATH,2016,4,MSP,2,5
103300,5/2/2016,ENGLISH,2016,4,MSP,3,5
103400,2/1/2013,MATH,2013,1,SBA,1909,2500
103400,2/2/2013,ENGLISH,2013,1,SBA,1060,2500
103400,2/1/2014,MATH,2014,2,SBA,1844,2500
103400,2/2/2014,ENGLISH,2014,2,SBA,1325,2500
103400,2/1/2015,MATH,2015,3,SBA,2059,2500
103400,2/2/2015,ENGLISH,2015,3,SBA,1344,2500
103400,5/1/2016,MATH,2016,4,MSP,3,5
103400,5/2/2016,ENGLISH,2016,4,MSP,3,5
103500,2/1/2013,MATH,2013,1,SBA,1268,2500
103500,2/2/2013,ENGLISH,2013,1,SBA,1760,2500
103500,2/1/2014,MATH,2014,2,SBA,2139,2500
103500,2/2/2014,ENGLISH,2014,2,SBA,1062,2500
103500,2/1/2015,MATH,2015,3,SBA,1540,2500
103500,2/2/2015,ENGLISH,2015,3,SBA,1385,2500
103500,5/1/2016,MATH,2016,4,MSP,1,5
103500,5/2/2016,ENGLISH,2016,4,MSP,0,5
103600,2/1/2013,MATH,2013,1,SBA,1458,2500
103600,2/2/2013,ENGLISH,2013,1,SBA,1043,2500
103600,2/1/2014,MATH,2014,2,SBA,1118,2500
103600,2/2/2014,ENGLISH,2014,2,SBA,1488,2500
103600,2/1/2015,MATH,2015,3,SBA,1979,2500
103600,2/2/2015,ENGLISH,2015,3,SBA,1413,2500
103600,5/1/2016,MATH,2016,4,MSP,3,5
103600,5/2/2016,ENGLISH,2016,4,MSP,3,5
103700,2/1/2013,MATH,2013,1,SBA,1436,2500
103700,2/2/2013,ENGLISH,2013,1,SBA,1157,2500
103700,2/1/2014,MATH,2014,2,SBA,1798,2500
103700,2/2/2014,ENGLISH,2014,2,SBA,1701,2500
103700,2/1/2015,MATH,2015,3,SBA,2222,2500
103700,2/2/2015,ENGLISH,2015,3,SBA,2497,2500
103700,5/1/2016,MATH,2016,4,MSP,2,5
103700,5/2/2016,ENGLISH,2016,4,MSP,1,5
103800,2/1/2013,MATH,2013,1,SBA,1565,2500
103800,2/2/2013,ENGLISH,2013,1,SBA,1788,2500
103800,2/1/2014,MATH,2014,2,SBA,1282,2500
103800,2/2/2014,ENGLISH,2014,2,SBA,2050,2500
103800,2/1/2015,MATH,2015,3,SBA,1312,2500
103800,2/2/2015,ENGLISH,2015,3,SBA,2126,2500
103800,5/1/2016,MATH,2016,4,MSP,5,5
103800,5/2/2016,ENGLISH,2016,4,MSP,0,5
103900,2/1/2013,MATH,2013,1,SBA,1189,2500
103900,2/2/2013,ENGLISH,2013,1,SBA,1832,2500
103900,2/1/2014,MATH,2014,2,SBA,1966,2500
103900,2/2/2014,ENGLISH,2014,2,SBA,2125,2500
103900,2/1/2015,MATH,2015,3,SBA,2077,2500
103900,2/2/2015,ENGLISH,2015,3,SBA,1233,2500
103900,5/1/2016,MATH,2016,4,MSP,5,5
103900,5/2/2016,ENGLISH,2016,4,MSP,4,5
104000,2/1/2013,MATH,2013,1,SBA,1385,2500
104000,2/2/2013,ENGLISH,2013,1,SBA,1667,2500
104000,2/1/2014,MATH,2014,2,SBA,1703,2500
104000,2/2/2014,ENGLISH,2014,2,SBA,2309,2500
104000,2/1/2015,MATH,2015,3,SBA,1242,2500
104000,2/2/2015,ENGLISH,2015,3,SBA,1563,2500
104000,5/1/2016,MATH,2016,4,MSP,4,5
104000,5/2/2016,ENGLISH,2016,4,MSP,2,5
104100,2/1/2013,MATH,2013,1,SBA,2447,2500
104100,2/2/2013,ENGLISH,2013,1,SBA,1312,2500
104100,2/1/2014,MATH,2014,2,SBA,2317,2500
104100,2/2/2014,ENGLISH,2014,2,SBA,1727,2500
104100,2/1/2015,MATH,2015,3,SBA,1517,2500
104100,2/2/2015,ENGLISH,2015,3,SBA,1944,2500
104100,5/1/2016,MATH,2016,4,MSP,4,5
104100,5/2/2016,ENGLISH,2016,4,MSP,4,5
104200,2/1/2013,MATH,2013,1,SBA,1287,2500
104200,2/2/2013,ENGLISH,2013,1,SBA,2292,2500
104200,2/1/2014,MATH,2014,2,SBA,1557,2500
104200,2/2/2014,ENGLISH,2014,2,SBA,2420,2500
104200,2/1/2015,MATH,2015,3,SBA,2391,2500
104200,2/2/2015,ENGLISH,2015,3,SBA,2370,2500
104200,5/1/2016,MATH,2016,4,MSP,1,5
104200,5/2/2016,ENGLISH,2016,4,MSP,2,5
104300,2/1/2013,MATH,2013,1,SBA,1431,2500
104300,2/2/2013,ENGLISH,2013,1,SBA,1535,2500
104300,2/1/2014,MATH,2014,2,SBA,1054,2500
104300,2/2/2014,ENGLISH,2014,2,SBA,1781,2500
104300,2/1/2015,MATH,2015,3,SBA,1517,2500
104300,2/2/2015,ENGLISH,2015,3,SBA,1555,2500
104300,5/1/2016,MATH,2016,4,MSP,1,5
104300,5/2/2016,ENGLISH,2016,4,MSP,2,5
104400,2/1/2013,MATH,2013,1,SBA,2427,2500
104400,2/2/2013,ENGLISH,2013,1,SBA,1353,2500
104400,2/1/2014,MATH,2014,2,SBA,1815,2500
104400,2/2/2014,ENGLISH,2014,2,SBA,2297,2500
104400,2/1/2015,MATH,2015,3,SBA,2047,2500
104400,2/2/2015,ENGLISH,2015,3,SBA,2183,2500
104400,5/1/2016,MATH,2016,4,MSP,4,5
104400,5/2/2016,ENGLISH,2016,4,MSP,5,5
104500,2/1/2013,MATH,2013,1,SBA,1170,2500
104500,2/2/2013,ENGLISH,2013,1,SBA,1944,2500
104500,2/1/2014,MATH,2014,2,SBA,2037,2500
104500,2/2/2014,ENGLISH,2014,2,SBA,2462,2500
104500,2/1/2015,MATH,2015,3,SBA,1314,2500
104500,2/2/2015,ENGLISH,2015,3,SBA,2331,2500
104500,5/1/2016,MATH,2016,4,MSP,5,5
104500,5/2/2016,ENGLISH,2016,4,MSP,2,5
104600,2/1/2013,MATH,2013,1,SBA,1407,2500
104600,2/2/2013,ENGLISH,2013,1,SBA,1671,2500
104600,2/1/2014,MATH,2014,2,SBA,1328,2500
104600,2/2/2014,ENGLISH,2014,2,SBA,1964,2500
104600,2/1/2015,MATH,2015,3,SBA,2155,2500
104600,2/2/2015,ENGLISH,2015,3,SBA,1715,2500
104600,5/1/2016,MATH,2016,4,MSP,5,5
104600,5/2/2016,ENGLISH,2016,4,MSP,0,5
104700,2/1/2013,MATH,2013,1,SBA,2490,2500
104700,2/2/2013,ENGLISH,2013,1,SBA,2257,2500
104700,2/1/2014,MATH,2014,2,SBA,1494,2500
104700,2/2/2014,ENGLISH,2014,2,SBA,1493,2500
104700,2/1/2015,MATH,2015,3,SBA,1878,2500
104700,2/2/2015,ENGLISH,2015,3,SBA,1138,2500
104700,5/1/2016,MATH,2016,4,MSP,0,5
104700,5/2/2016,ENGLISH,2016,4,MSP,2,5
104800,2/1/2013,MATH,2013,1,SBA,2110,2500
104800,2/2/2013,ENGLISH,2013,1,SBA,2018,2500
104800,2/1/2014,MATH,2014,2,SBA,1948,2500
104800,2/2/2014,ENGLISH,2014,2,SBA,2119,2500
104800,2/1/2015,MATH,2015,3,SBA,1733,2500
104800,2/2/2015,ENGLISH,2015,3,SBA,1105,2500
104800,5/1/2016,MATH,2016,4,MSP,1,5
104800,5/2/2016,ENGLISH,2016,4,MSP,5,5
104900,2/1/2013,MATH,2013,1,SBA,1447,2500
104900,2/2/2013,ENGLISH,2013,1,SBA,2161,2500
104900,2/1/2014,MATH,2014,2,SBA,1802,2500
104900,2/2/2014,ENGLISH,2014,2,SBA,2413,2500
104900,2/1/2015,MATH,2015,3,SBA,1565,2500
104900,2/2/2015,ENGLISH,2015,3,SBA,1873,2500
104900,5/1/2016,MATH,2016,4,MSP,4,5
104900,5/2/2016,ENGLISH,2016,4,MSP,1,5
105000,2/1/2013,MATH,2013,1,SBA,1488,2500
105000,2/2/2013,ENGLISH,2013,1,SBA,1448,2500
105000,2/1/2014,MATH,2014,2,SBA,1123,2500
105000,2/2/2014,ENGLISH,2014,2,SBA,1086,2500
105000,2/1/2015,MATH,2015,3,SBA,1553,2500
105000,2/2/2015,ENGLISH,2015,3,SBA,1332,2500
105000,5/1/2016,MATH,2016,4,MSP,3,5
105000,5/2/2016,ENGLISH,2016,4,MSP,0,5
105100,2/1/2013,MATH,2013,1,SBA,1038,2500
105100,2/2/2013,ENGLISH,2013,1,SBA,1079,2500
105100,2/1/2014,MATH,2014,2,SBA,2229,2500
105100,2/2/2014,ENGLISH,2014,2,SBA,1695,2500
105100,2/1/2015,MATH,2015,3,SBA,2363,2500
105100,2/2/2015,ENGLISH,2015,3,SBA,1111,2500
105100,5/1/2016,MATH,2016,4,MSP,2,5
105100,5/2/2016,ENGLISH,2016,4,MSP,2,5
105200,2/1/2013,MATH,2013,1,SBA,2161,2500
105200,2/2/2013,ENGLISH,2013,1,SBA,2133,2500
105200,2/1/2014,MATH,2014,2,SBA,1129,2500
105200,2/2/2014,ENGLISH,2014,2,SBA,2316,2500
105200,2/1/2015,MATH,2015,3,SBA,1798,2500
105200,2/2/2015,ENGLISH,2015,3,SBA,1349,2500
105200,5/1/2016,MATH,2016,4,MSP,2,5
105200,5/2/2016,ENGLISH,2016,4,MSP,5,5
105300,2/1/2013,MATH,2013,1,SBA,1443,2500
105300,2/2/2013,ENGLISH,2013,1,SBA,1365,2500
105300,2/1/2014,MATH,2014,2,SBA,2161,2500
105300,2/2/2014,ENGLISH,2014,2,SBA,2327,2500
105300,2/1/2015,MATH,2015,3,SBA,1888,2500
105300,2/2/2015,ENGLISH,2015,3,SBA,1060,2500
105300,5/1/2016,MATH,2016,4,MSP,3,5
105300,5/2/2016,ENGLISH,2016,4,MSP,3,5
105400,2/1/2013,MATH,2013,1,SBA,2253,2500
105400,2/2/2013,ENGLISH,2013,1,SBA,2108,2500
105400,2/1/2014,MATH,2014,2,SBA,1284,2500
105400,2/2/2014,ENGLISH,2014,2,SBA,1345,2500
105400,2/1/2015,MATH,2015,3,SBA,1285,2500
105400,2/2/2015,ENGLISH,2015,3,SBA,2263,2500
105400,5/1/2016,MATH,2016,4,MSP,5,5
105400,5/2/2016,ENGLISH,2016,4,MSP,4,5
105500,2/1/2013,MATH,2013,1,SBA,1318,2500
105500,2/2/2013,ENGLISH,2013,1,SBA,1241,2500
105500,2/1/2014,MATH,2014,2,SBA,1456,2500
105500,2/2/2014,ENGLISH,2014,2,SBA,2339,2500
105500,2/1/2015,MATH,2015,3,SBA,1653,2500
105500,2/2/2015,ENGLISH,2015,3,SBA,1058,2500
105500,5/1/2016,MATH,2016,4,MSP,4,5
105500,5/2/2016,ENGLISH,2016,4,MSP,2,5
105600,2/1/2013,MATH,2013,1,SBA,1937,2500
105600,2/2/2013,ENGLISH,2013,1,SBA,2102,2500
105600,2/1/2014,MATH,2014,2,SBA,2464,2500
105600,2/2/2014,ENGLISH,2014,2,SBA,1756,2500
105600,2/1/2015,MATH,2015,3,SBA,1847,2500
105600,2/2/2015,ENGLISH,2015,3,SBA,1645,2500
105600,5/1/2016,MATH,2016,4,MSP,1,5
105600,5/2/2016,ENGLISH,2016,4,MSP,1,5
105700,2/1/2013,MATH,2013,1,SBA,1727,2500
105700,2/2/2013,ENGLISH,2013,1,SBA,1304,2500
105700,2/1/2014,MATH,2014,2,SBA,2102,2500
105700,2/2/2014,ENGLISH,2014,2,SBA,2371,2500
105700,2/1/2015,MATH,2015,3,SBA,1301,2500
105700,2/2/2015,ENGLISH,2015,3,SBA,1957,2500
105700,5/1/2016,MATH,2016,4,MSP,3,5
105700,5/2/2016,ENGLISH,2016,4,MSP,2,5
105800,2/1/2013,MATH,2013,1,SBA,1834,2500
105800,2/2/2013,ENGLISH,2013,1,SBA,1642,2500
105800,2/1/2014,MATH,2014,2,SBA,1040,2500
105800,2/2/2014,ENGLISH,2014,2,SBA,1921,2500
105800,2/1/2015,MATH,2015,3,SBA,1732,2500
105800,2/2/2015,ENGLISH,2015,3,SBA,2154,2500
105800,5/1/2016,MATH,2016,4,MSP,4,5
105800,5/2/2016,ENGLISH,2016,4,MSP,1,5
